iter	Passed	Remaining
974	62005	1589
975	62079	1526
976	62166	1463
977	62246	1400
978	62364	1337
979	62461	1274
980	62554	1211
981	62702	1149
982	62888	1087
983	63073	1025
984	63158	961
985	63279	898
986	63387	834
987	63504	771
988	63639	707
989	63808	644
990	63921	580
991	64106	516
992	64221	452
993	64316	388
994	64392	323
995	64462	258
996	64606	194
997	64715	129
998	64832	64
999	64904	0
